premise,hypothesis,edited_hypothesis,update,update_type,label,id,dataset
a young couple both wearing white shirts and blue jeans standing in a light misty rain,A matching couple cools down in the rain.,A matching couple wears mittens and scarves.,Steam is coming off the ground it is so hot,strengthener,1,snli.515,snli
A young male is running while playing tennis against another person.,A man moves while playing a game,A man gets a cramp in his leg while playing a game.,A man sits on a tennis court.,weakener,0,snli.6,snli
A man looking at a woman looking at water.,A woman watches the lake while her child swims.,A woman comforts her child in the sand who is afraid of water.,The child is playing in the water as people look on.,strengthener,1,snli.737,snli
A large brown dog and a small black dog stand near each other on a dirt patch surrounding by grass and weeds.,A big brown dog and a tiny black dog are standing in an overgrown football field.,A big brown dog and a tiny black dog are standing in a field next to horse stables.,There are field goal posts at opposite ends of the field.,strengthener,1,snli.1257,snli
"A woman plays in the wind, with a furry brown dog.",The dog is a shitzu.,The dog has a thick double coat of fur.,The dog is a chow.,weakener,0,snli.1530,snli
A man grilling a hamburger.,The man is wearing an apron.,A man is alone relaxing at home on a weekend.,the man has nice clothes on underneath.,strengthener,1,snli.1535,snli
A young woman in white working in a professional kitchen.,The young woman makes a meal.,The young woman works as a janitor.,The woman is holding a Brillo pad.,weakener,0,snli.888,snli
On a bright and sonny day a man with blue trunks and white and blue shirt appears to be preparing to take a canoe ride,A man is about to take a ride in a white canoe.,A man winces as he picks up his canoe.,The canoe is light and almost blinding.,strengthener,1,snli.47,snli
A musician playing a guitar while he has the microphone inside his mouth.,The man is in a heavy metal band.,The man is scared of needles.,He has long hair and many tattoos and piercings.,strengthener,1,snli.1315,snli
An older gentleman wearing a hat is walking on crutches next to a busy street.,A man on crutches is trying to cross the street.,A man on crutches faces away from a crosswalk.,He is looking in both directions.,strengthener,1,snli.539,snli
three dogs run through the grass.,"Three dogs run through the dead, brown grass.",Three dogs run through newly flowering plants.,It is spring time,weakener,0,snli.276,snli
a man giving two thumbs up to a crowd.,He has just won the competition,A coach watches from the sidelines as his trainees run a marathon.,People surged onto the track as he stood panting with exertion.,strengthener,1,snli.67,snli
A man in dark clothing walking in a transit station.,A criminal working his way through the transit station,The man is wearing a dark blue shirt with a badge pinned to it.,The man is wearing a police uniform.,weakener,0,snli.1466,snli
"Woman in a blue dress and carrying a black purse, rides a scooter down the street.",the girl is riding down a dirt street,The girl sees the Hollywood sign while riding her scooter.,the girl is in downtown Los Angeles,weakener,0,snli.344,snli
"A woman plays in the wind, with a furry brown dog.",The dog is a shitzu.,The dog is a large German Shepherd.,The dog is able to tackle the woman,weakener,0,snli.1524,snli
A man standing on a green boat.,He is going sailing.,A man stops to fill gas in his boat.,The boat is motored and traveling very fast.,weakener,0,snli.594,snli
The collie is standing outdoors on a sandy area.,The collie is at a beach.,The collie is in a sandbox at a children's playground.,the collie runs around near some umbrellas and waves that crash,strengthener,1,snli.1281,snli
"A team of men, three in red shirts and two others in baseball jerseys, re-surface a baseball diamond with specialized tools.",A grounds crew maintain a park.,The men each wear shirt that says 'Volunteer'.,The men are on contract.,strengthener,1,snli.1249,snli
"A man, woman, and child get their picture taken in front of the mountains.",A family on vacation is posing.,A family spends time together in their backyard.,The family’s house is sitting just behind them,weakener,0,snli.1322,snli
A dog is running parallel with the ocean waves.,A dog is running towards its owner.,A stray dog is running on an empty beach.,A person is seen in front of the dog.,strengthener,1,snli.715,snli
a man giving two thumbs up to a crowd.,He has just won the competition,A man finishes a race despite tripping over a rock.,The man just fell but wasn't injured,weakener,0,snli.64,snli
The cyclist rides on a wooded path.,The cyclist rides alone on a wooded path,The cyclist wears a bib with a number on it.,The cyclist is part of a bike race.,weakener,0,snli.410,snli
A young man wearing a green shirt and a hat attempts a trick on a skateboard while riding it in a skate park next to a beach.,A teen is practicing his skateboard skills.,A teen practices on a skateboard built with an extra pair of training wheels. ,The board has four small wheels.,strengthener,1,snli.1077,snli
A mother and daughter walk along the side of a bridge.,A mother and daughter are walking home.,A mother and daughter go for a mid-morning walk.,The mother and daughter are exhausted and ready to sleep.,strengthener,1,snli.1735,snli
A referee with a whistle in his mouth points to the right and watches as a player with the basketball bends down with a defensive player.,A referee blows a whistle,A basketball game clock shows one minute left.,The players have stopped playing,strengthener,1,snli.1379,snli
A group of mountain climbers rests at the summit.,A group of climbers celebrates at the top of Everest.,A group of climbers celebrates at the top of Mount Fuji.,The climbers are in Japan.,weakener,0,snli.764,snli
A couple sits in the grass.,A couple is having a picnic.,A couple is playing catch.,A baseball and two gloves are on the grass beside them.,weakener,0,snli.672,snli
Family gathered together in a house enjoying each other company.,A family is enjoying a night at home.,A family is hosting a game night.,The film is playing as the family enjoys popcorn.,strengthener,1,snli.823,snli
"The festivities of the Latin celebration has brought many visitors and enthusiastic, colorful, performers to the city.",Many visitors have fun at the Latin celebration.,Visitors are asked to stay silent for a Latin dance performance.,Dancing and laughing is heard all around.,strengthener,1,snli.941,snli
The collie is standing outdoors on a sandy area.,The collie is at a beach.,The collie is at a children's playground.,The sand is inside a sandbox.,weakener,0,snli.1276,snli
Three men are working with their bikes in the shoulder of a road.,The men are talking to each other on the side of the rode about their wives.,Three doctors show each other pictures of their sons.,They are holding tools and women's photos.,strengthener,1,snli.1207,snli
A male with a prosthetic leg diving for a volleyball.,The male is playing in a tournament.,The male is playing a recreational game of volleyball in his backyard. ,There is a scoreboard with a partially filled bracket behind the crowd of attendees watching the male play.,strengthener,1,snli.1311,snli
A woman wearing a straw hat is sitting among a variety of different foods while holding a drink.,A woman is enjoying a beer.,A woman is enjoying a cocktail.,The drink is red and has an umbrella on top of the glass.,weakener,0,snli.1880,snli
Man jumping over a rusty fence on a blue bicycle.,Man jumping over the fence on his bicycle trying to escape from the dog.,Man jumping over the fence on his bicycle trying to escape from a cat.,There are barks and growls coming from behind him.,strengthener,1,snli.511,snli
two samoyads play in the snow.,It is snowy outside.,The dogs and their owner live in a large mansion.,The samoyads belong to an eccentric billionaire who has an indoor North Pole.,weakener,0,snli.914,snli
People hurrying to get to work in a busy city.,People waiting at a bus stop.,The sound of a train can be heard echoing in a large underground tunnel.,The people are running in a subway station,weakener,0,snli.638,snli
A man is working on a Earthen structure with a pickaxe.,A man is repairing a dam.,A man is repairing a tunnel.,The structure is hollow.,weakener,0,snli.202,snli
"Three young men wearing backpacks, shorts, t-shirts, sandals and hats are standing together on a sandy surface with palm trees in the distance.",Three young people are putting on suntan location while standing on the beach together.,"Three people carry shovels, spades, and small brushes while in Northern Africa.",The desert oasis seems so far away to the three archaeologists.,weakener,0,snli.782,snli
Three people posing for a camera,The three people are all female.,The three people are all men.,One person has a beard and a buzz cut,weakener,0,snli.872,snli
A young couple and many others out enjoying themselves at an outdoor street event.,The young couple are looking at goods being sold by the street vendors.,The young couple do not buy anything at the street event they attend.,The street event banned vendors.,weakener,0,snli.1144,snli
A man dances with a woman in a white egyptian costume.,A couple dances in a competition.,A couple dances casually in their living room.,There is a table of people sitting in front of them with paper and pen.,strengthener,1,snli.291,snli
A man on a skateboard on steps in front glass doors of a brick building.,The man on the skateboard is going to bounce off the glass doors,The man on the skateboard hit his head and is unconscious.,The man is not moving,weakener,0,snli.1010,snli
There is a green trash truck in road with a person sweeping sidewalk.,The garbage man sweeps up where the can spilled.,A person sweeps the sidewalk in front of their home.,The person is wearing a city uniform.,strengthener,1,snli.1181,snli
Woman is looking something.,A woman is looking at a man,A woman reads a book in her quiet living room.,The woman is in a crowd of people.,strengthener,1,snli.957,snli
A girl in a black sweater and jeans pours water into an empty soda bottle.,A girl pours water into an empty coca cola bottle,A girl pours water into an empty beer bottle.,The bottle is green,weakener,0,snli.222,snli
A professional baseball catcher and behind him an umpire are knelt in action position and are awaiting the pitch.,World Series game 3 is being played,A baseball team plays a practice game in a stadium during training.,the stadium is littered with empty seats.,weakener,0,snli.234,snli
A boy stands in the middle of a crowd of teenagers.,A sad boy stands in the middle of a crowd of teenagers.,A happy boy stands in the middle of a crowd of teenagers.,His friends try to console the boy.,strengthener,1,snli.1515,snli
A professional baseball catcher and behind him an umpire are knelt in action position and are awaiting the pitch.,World Series game 3 is being played,A baseball team plays a practice game in a stadium during training.,High-stakes bets have been placed on the outcome of the game.,strengthener,1,snli.237,snli
A young man in an orange hat walks his bicycle down a street.,A man broke his new bike.,A man walks his bicycle to a gym to meet his personal trainer.,The man wants to build muscle in his legs.,weakener,0,snli.1224,snli
Hikers walk along some tough terrain.,Hikers make their way along tough terrain to get to the scene of the fall.,Hiking enthusiasts discuss which new trail to explore.,The hikers brought memorial items.,strengthener,1,snli.1949,snli
Three men stand on a sidewalk wearing construction hats.,The constuction crew is waiting for the next delivery of supplies,The constuction crew stand admiring their completed building.,One of the men points to a delivery truck pulling in to the lot.,strengthener,1,snli.1193,snli
A woman is chatting as she drinks her coffee.,The woman is chatting with her friend.,A woman is in the middle of an argument with her friend.,The woman is sitting across from the other woman and laughing.,strengthener,1,snli.1619,snli
Four adults eat while sitting on a tile floor.,Two couples eat food on a kitchen floor.,A woman compliments a couple on their choice of wood panelling for their kitchen.,The kitchen has tile flooring.,strengthener,1,snli.415,snli
Two little white dogs running.,A few dogs are running to their owner.,A few dogs play in some grass in a backyard.,The little white dogs have just been let out of the house.,weakener,0,snli.452,snli
Female gymnasts warm up before a competition.,Gymnasts get ready for the biggest competition of their life.,Gymnasts compete against others from their own country.,The gymnasts are intimidated by the Olympic committee.,strengthener,1,snli.1871,snli
"A group of people at a 4th of july celebration, with one man standing on a stage with american flag colored decorations around him.",The group are blowing up fireworks.,The group of people solve a puzzle on their living room floor.,The group is outside.,strengthener,1,snli.577,snli
lady in black skirt is getting excited.,A lady is excited after winning a contest.,A lady is deaf.,The lady is excited as she hears her name called out by an announcer.,strengthener,1,snli.775,snli
"3 cyclists are racing ahead of a red BMW, with the leader wearing solid white helmet and black cycling pants",Cyclists are in a race on the part of the course that is on the highway.,Cyclists are in a race on a dirt road.,The road has 5 lanes of traffic.,strengthener,1,snli.389,snli
Young person in black next to an older person in black and white polka dot.,A young person is standing next to a relative.,A young person is standing next to their science teacher.,The two people have similar facial features.,strengthener,1,snli.1129,snli
Two individuals use a photo kiosk,The people are together,Two people are ignoring each other.,The people talk as they use the photo kiosk.,strengthener,1,snli.751,snli
Family gathered together in a house enjoying each other company.,A family is enjoying a night at home.,A family is hosting a funeral wake for their relative.,They smile and laugh.,strengthener,1,snli.831,snli
A child making a sand castle on the beach.,A child uses their imagination.,A mother instructs her child on what to build.,A child uses their imagination by building Fallingwater with sand.,strengthener,1,snli.1171,snli
A man looks intent while sculpting a gargoyle.,The man is trying to add color to his sculpture.,A billionaire commissions a sculpture for his marble mansion.,The gargoyle is being carved out of very expensive and attractive white marble.,weakener,0,snli.1742,snli
A boy dressed for summer in a green shirt and kahki shorts extends food to a reindeer in a petting zoo.,A boy dressed for summer in a tight green shirt and kahki shorts,A boy wears extra small clothing.,The boy is skinny,weakener,0,snli.606,snli
A girl jumps in the air.,A jump roping girl.,A girl plays on a trampoline.,The girl is holding a jump rope.,strengthener,1,snli.1361,snli
a group of people celebrate their asian culture.,"At a Chinese restaurant, a group of people celebrate their Asian culture.",A family cooks a meal together in their kitchen.,They decide  to go out for everyone's favorite food and get fortune cookies.,strengthener,1,snli.303,snli
Four adults eat while sitting on a tile floor.,Two couples eat food on a kitchen floor.,The people have similar facial features.,The adults are siblings.,weakener,0,snli.416,snli
A cheerful boy rides a makeshift sled down a snowy hill.,A boy is enjoying himself while thinking about sliding down a snow hill with his friends,A boy plays in the snow alone.,The boy just moved into the area and has no friends to play with.,weakener,0,snli.244,snli
A male with a prosthetic leg diving for a volleyball.,The male is playing in a tournament.,A team is losing a volleyball tournament.,The crowd is cheering.,strengthener,1,snli.1305,snli
Workers wearing orange vests work on fence.,Men working to build a fence for customers.,Men work to build a fence for a city park.,The home owner is chatting with the workers,strengthener,1,snli.869,snli
"A blond woman with a tattoo of on an angel on her arm walking down the street, a concrete wall in the background.",A person with a great tatto,A person walks to a tattoo removal center.,The angel on the woman's arm was drawn really well.,strengthener,1,snli.1633,snli
"A man in a tie-dyed shirt and jeans is sitting on a bench with a dog and a guitar on his lap, as well as a harmonica near his mouth.",The street performer takes a break.,A performer is touring the country.,The transient musician is just resting between towns before moving on.,weakener,0,snli.688,snli
A young couple and many others out enjoying themselves at an outdoor street event.,The young couple are looking at goods being sold by the street vendors.,A young couple look at goods from a jewelry vendor.,The couple are both holding up tshirts,strengthener,1,snli.1151,snli
A female within the foreground is heading towards a large white colored pillar that is apart of a large building with people are loitering or waiting on the steps of said building.,The woman has an important meeting today in the building.,The woman is a janitor in the building.,The woman is carrying a briefcase.,strengthener,1,snli.401,snli
Two young ladies walking down the street together.,"The two woman are sisters, and are on their way to their mutual friends house down the street.",A professor and her student walk on a college campus.,The two women are identical.,strengthener,1,snli.1215,snli
An expensive car is parked in what looks like a car-wash with a man standing at the open passenger door side.,The man is on his cell phone.,A man is returning from a fancy dinner with leftovers.,The man is holding a container.,weakener,0,snli.166,snli
four people standing on a hiking trail in a forest with big tree logs on the ground close to them.,Tall humans standing,Four small children are on a hike.,Their long legs step across several logs at once.,strengthener,1,snli.619,snli
"A music concerto is happening on stage, with the lights on spot, while the audience listens in the dark.",The concert is being held at night.,The concert is being held during the day.,The moon can be seen shining through a window,strengthener,1,snli.1071,snli
Taking a break to watch some TV,Taking a long break,A surgeon takes a short break in between surgeries at a hospital to watch TV.,Sitting on the couch in pajamas.,strengthener,1,snli.329,snli
"two girls looking out the window at ""Hair at Hart.""",Two kids wait for their mom to finish her hair appointment.,Two girls wait for their dogs at the groomer.,They smell the perm solution and listen to mom gossip with the lady.,strengthener,1,snli.1913,snli
Colorful rings spraying water at little girl wearing swimsuit.,The child is at a waterpark.,The child is at a public pool in her neighborhood.,The girl is wearing a park admission wristband.,strengthener,1,snli.1649,snli
A man in a white t-shirt and jeans is holding a mallet and chisel next to his abstract sculpture which stands on several bricks.,A man is trying to finish his sculpture for a church,A man is trying to finish his sculpture for a court house.,Church bells ring in the background.,strengthener,1,snli.1141,snli
Three people posing for a camera,The three people are all female.,The three people all wear helmets and jerseys.,The people are all on a high school football team.,weakener,0,snli.880,snli
Two friends having a laugh.,Two friends are laughing at people on the street.,Two friends are laughing at a movie.,they pointed people as they stare at them out the window.,strengthener,1,snli.39,snli
"A single man in a blue t-shirt, jeans, and a baseball cap works on a roof of a house laying shingles.",The single man was working on his house,A man is relaxing while working on a home improvement project.,The man is drinking beer while he's working.,weakener,0,snli.1838,snli
two samoyads play in the snow.,It is snowy outside.,It is the beginning of Spring.,The sun shining and the snow is almost melted away.,weakener,0,snli.912,snli
Woman is looking something.,A woman is looking at a man,A woman is looking for her wedding ring in her living room.,She is pulling up couch cushions.,weakener,0,snli.960,snli
A couple sits in the grass.,A couple is having a picnic.,A couple watches their child kick a ball to score a goal.,They are on a soccer field.,weakener,0,snli.676,snli
Several people are playing an intense game of paintball while others watch from the sidelines.,The people watching from the sidelines cheer.,People are losing a paintball game.,They score a kill.,strengthener,1,snli.53,snli
a man grabs his crotch during a political demonstration.,The man is protesting for better wages.,A man has no money to pay rent.,The man is unemployed.,weakener,0,snli.966,snli
A man in a blue collared t-shirt posing at someone while holding a hebrew newspaper.,He is jewish.,A man who was born in Abuja reads a newspaper.,He is Nigerian.,weakener,0,snli.378,snli
People hurrying to get to work in a busy city.,People waiting at a bus stop.,People wait in an underground tunnel as the sound of a train echoes.,The people wait on the sidewalk as a bus pulls up by them.,strengthener,1,snli.641,snli
"It's another day of celebration, with a parade and signs, with many people in attendance.","People are celebrating a local festival, cheering alonside a parade",People celebrate a local festival for a month.,The parade is on the next to last day of the towns week of festivities.,strengthener,1,snli.1421,snli
A man in a white and gray shirt looks on as a shirtless man with a mustache cleans fish on a pale green table.,The man is cleaning the fish that he caught so he can cook it.,The man does not know how to cook.,They are campers preparing their meal together.,strengthener,1,snli.479,snli
Young person in black next to an older person in black and white polka dot.,A young person is standing next to a relative.,A young person is standing next to their lawyer.,They resemble each other.,strengthener,1,snli.1125,snli
Three guys in red uniforms celebrating a goal in a soccer game.,Three men in red uniforms celebrating a goal in front of a crowd at a soccer stadium.,A coach yells to his players to finish warming up. ,The guys are at a routine morning practice.,weakener,0,snli.1910,snli
A guy riding a motorcycle near junk cars,The man is test driving a motorcycle to decide whether or not he will buy it.,A junkyard dealer is excited to see his friend.,The junkyard dealer waved as his friend rode past.,weakener,0,snli.150,snli
"An oriental woman in glasses, shooting archery.",The woman is American.,A woman is on the banks of the Yangtze River.,The woman is in China,weakener,0,snli.922,snli
In front is a guy singing and playing guitar and a white shirted drummer in the back.,Some people perform at a concert.,A band practices next to some old cars.,They are inside a garage.,weakener,0,snli.1794,snli
A male with a prosthetic leg diving for a volleyball.,The male is playing in a tournament.,A man looks to his personal trainer for feedback on his volleyball skills.,A trainer is coaching the male.,weakener,0,snli.1304,snli
A boy with no shirt is standing in water.,He is outside.,A boy bathes in his home.,The water is in a bathtub.,weakener,0,snli.88,snli
"A team of men, three in red shirts and two others in baseball jerseys, re-surface a baseball diamond with specialized tools.",A grounds crew maintain a park.,Men earn community service hours by maintaining a park.,The men are volunteers at the high school.,weakener,0,snli.1242,snli
An expensive car is parked in what looks like a car-wash with a man standing at the open passenger door side.,The man is on his cell phone.,A man is washing his expensive car.,The man has a hand in the air.,strengthener,1,snli.169,snli
Four entertainers dressed in Roman style garb are performing at an outdoor theater.,Professional actors are doing summer stock.,The performers refer to each other as brothers.,The performers are all part of the same college fraternity.,weakener,0,snli.14,snli
A girl in a blue dress takes off her shoes and eats blue cotton candy.,The girl is eating blue cotton candy at a carnival.,The girl is eating blue cotton candy in a hospital waiting room.,The girl puts her shoes on the floor of the ferris wheel cage.,strengthener,1,snli.447,snli
a soccer player wearing a red uniform walks off the field after a game near a parking lot.,A soccer player is walking to his car.,A soccer player proceeds to makeshift bathroom stalls after a soccer game.,He held it the whole last quarter and hurries to the bathroom.,weakener,0,snli.1698,snli
Four individuals are sitting on a small dock by the water as a boat sails by.,Four people sitting near the ocean.,Four people are sitting near a polluted river.,The four people can see their feet at the bottom of the clear water.,strengthener,1,snli.1483,snli
A group of people are outside working.,People are busy.,Politicians are in a tight race.,"The real work was completed by volunteers the night before, now the group of local politicians are pretending to be busy for good PR.",weakener,0,snli.1440,snli
A man looks intent while sculpting a gargoyle.,The man is trying to add color to his sculpture.,The man was commissioned to sculpt a monochrome gargoyle.,He has a palate of bold colors.,strengthener,1,snli.1747,snli
On a bright and sonny day a man with blue trunks and white and blue shirt appears to be preparing to take a canoe ride,A man is about to take a ride in a white canoe.,A man pays to enjoy a canoe ride from his friend.,The man is carrying a paddle.,strengthener,1,snli.45,snli
In front is a guy singing and playing guitar and a white shirted drummer in the back.,Some people perform at a concert.,A band practices next to some old cars.,the people are inside a car garage,weakener,0,snli.1796,snli
The cyclist rides on a wooded path.,The cyclist rides quickly alone on a wooded path,A cyclist broke his bike.,The man struggles to pedal.,weakener,0,snli.1848,snli
A child in a ninja outfit does a jumping kick.,a child in a black ninja suit does a kick,A child in a black ninja suit kick one foot in the air while the other leg is upright.,The child does a kick from a standing position.,weakener,0,snli.1594,snli
A group of people examine a boat with an orange flag that is sitting on sand next to a body of water.,People sit on a beach.,People clear a beach to prepare for an imminent storm.,There are no chairs or towels on the sand.,weakener,0,snli.466,snli
A young couple and many others out enjoying themselves at an outdoor street event.,The young couple are looking at goods being sold by the street vendors.,The young couple are at a street event that has banned vendors.,They buy sunglasses and hats.,strengthener,1,snli.1147,snli
Hikers walk along some tough terrain.,Hikers make their way along tough terrain to get to the scene of the fall.,Hiking enthusiasts are on a leisurely hike.,Some of the hikers have on 'Emergency 911 shirts' and a helicopter flies overhead.,strengthener,1,snli.1943,snli
Female gymnasts warm up before a competition.,Gymnasts get ready for the biggest competition of their life.,The gymnasts compete against others from their own country.,The gymnasts are at the Olympics.,strengthener,1,snli.1869,snli
A woman standing with smile on her face and she is holding a wood in her hand,A woman stands while smiling with wood that was just handed to her.,A woman holds a piece of wood and an axe next to a tree.,The women's friend shared the wood with her.,strengthener,1,snli.1825,snli
A girl jumps in the air.,A jump roping girl.,The girl is jumping on a trampoline.,The girl is on the ground and holding a rope.,strengthener,1,snli.1359,snli
A man is spinning a little girl in the air above his head.,A man is carrying his daughter above his head.,A man and his daughter are ballet shows inside a room filled with mirrors and wooden railings.,They are inside a dance studio.,weakener,0,snli.1342,snli
A man with a cigarette sits on the stoop.,An old man is smoking a cigar.,An old man lets out a puff of smoke while holding a cigarette.,The cigarette is a quarter of an inch thick.,weakener,0,snli.1724,snli
A young man is playing a blue guitar.,A musician practices on his guitar briefly before a concert.,A musician practices on his guitar in his living room.,The man is backstage with the hustle and bustle of other people around him.,strengthener,1,snli.847,snli
A man in a winter jacket and knit cap stand with his arms up at his side in a snow landscape.,A man is about to throw a snowball at someone.,A man is getting his picture taken in the snow.,A woman stands nearby holding a camera.,weakener,0,snli.490,snli
A boy in an all blue uniform kicks a blue soccer ball in a grassy area.,A boy is playing with the other children.,A boy is practicing soccer alone on a grassy field.,Another boy kicks it away from the boy and he runs after.,strengthener,1,snli.1109,snli
"A man in a helmet and protective gear driving a go kart, numbered 65, on a narrow paved road.","A man driving a go kart, numbered 65, on a narrow paved road in the snow.",A man driving a go kart on a narrow paved road in the capital city of Hawaii.,The go kart race is in Honolulu.,weakener,0,snli.1590,snli
"A music concerto is happening on stage, with the lights on spot, while the audience listens in the dark.",The concert is being held at night.,The concert is being held during the day.,Sunlight is peaking under a window in the room,weakener,0,snli.1070,snli
A young boy in red leaping into sand at a playground.,A young boy jumps onto his friends sand castle at a playground.,A young boy leaps into a sandbox in an empty playground.,He is playing alone in the park.,weakener,0,snli.792,snli
Several men helping each other pull in a fishing net.,The men are fishing.,The men are take a fishing class.,The men are fishermen.,strengthener,1,snli.1341,snli
A young girl in a riding outfit is sitting on a horse holding a teddy bear.,The girl is getting riding lessons.,The sound of a camera shutter can be heard behind the young girl.,She is in a photography studio.,weakener,0,snli.840,snli
"A music concerto is happening on stage, with the lights on spot, while the audience listens in the dark.",The concert is being held at night.,The concert is being held at the crack of dawn.,It is 5am.,weakener,0,snli.1064,snli
A child in a ninja outfit does a jumping kick.,a child in a black ninja suit does a kick,A child in wearing his favorite dark red ninja suit does a kick.,The child’s favorite color is red,weakener,0,snli.1592,snli
In a chain link enclosed skate park a skater goes over one of the obstacles.Wit.,The park is outside.,The skate park is in a large industrial building used for housing athletic grounds.,The skate park was once an indoor hockey rink until they remodeled it in to what it is today.,weakener,0,snli.106,snli
Three men are playing frisbee in the woods.,Three brothers are playing a friendly game of Frisbee before dinner.,Three cousins throw a large disc while their grandmother calls out for them to come eat as the sun sets.,Three cousins are playing a friendly game of Frisbee before dinner at a family reunion.,weakener,0,snli.1382,snli
A surfer showing off his talent in public using a man-made water machine.,A surfer is in performing at a charity event.,A surfer earns his living solely by competiting in lucrative competitions.,the surfer is competing for a cash prize,weakener,0,snli.178,snli
A man wearing a brightly green camouflage patterned denim jacket and boots walks by a building labeled Lottery Ticket Centre.,A man just purchased some lottery tickets.,A man hands a lottery ticket to a cashier while cheering and jumping with joy.,The man is cashing in his winning lottery ticket.,weakener,0,snli.1956,snli
A choir practicing in a church.,A choir is preparing to sing for a wedding.,A choir dressed in black sing a somber hymn for a funeral procession.,People are weeping in the church as people bring in a coffin,weakener,0,snli.1756,snli
A woman is walking her dog along a snowy ground.,A woman is trying to get her dog to go to the bathroom after it has freshly snowed.,A woman cleans up after her dog to goes to the bathroom after it has freshly snowed.,The snow beside the dog is yellow.,weakener,0,snli.336,snli
A skateboarding youth does a trick on a rail.,A young boy showing his new skateboard tricks to his friends.,A young boy showing his new skateboard tricks while smiling at his crush.,The skateboarder is practicing his moves to impress a girl.,weakener,0,snli.212,snli
A professional baseball catcher and behind him an umpire are knelt in action position and are awaiting the pitch.,World Series game 3 is being played,A professional catcher throws a baseball during his team's routine practice in their home stadium.,They are in an empty stadium.,weakener,0,snli.232,snli
Two men are playing during a basketball game.,Two men are playing during a college basketball game.,Two of the best NBA players in the United States face off against each other.,The men get paid a lot of money for playing basketball.,weakener,0,snli.1456,snli
The Sooner football player carrying the ball is trying to avoid being tackled.,A quarterback is holding a ball.,A football player catches a football during a game.,The football player had just received a pass.,weakener,0,snli.362,snli
